n_cyano_added,smiles,ewg_weighted,ml_predicted_homo,xtb_homo,abs_error,pass_025,xtb_homo_calibrated,calibrated_error,pass_calibrated
1,CCC1(CC)c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2-c2cccc(C#N)c21,1.98,-6.207928349,-10.7457,4.537771650999999,False,-6.1259500000000005,0.0819783489999999,True
2,CCC1(CC)c2c(C#N)cccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)c(C#N)c21,2.64,-6.2158566980000005,-11.092,4.876143302,False,-6.472250000000002,0.2563933020000011,False
3,CCC1(CC)c2c(ccc(C#N)c2C#N)-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)c(C#N)c21,3.3000000000000003,-6.223785047,-11.3341,5.110314953,False,-6.7143500000000005,0.4905649530000007,False
4,CCC1(CC)c2c(ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)c2C#N)-c2c(C#N)cc(C#N)c(C#N)c21,3.96,-6.231713396,-11.4748,5.243086604,False,-6.855050000000001,0.6233366040000012,False
