seed,r2_scaffold,gap
0,0.5239675365683414,0.008606748038033407
1,0.5220835437549484,0.010490740851426428
2,0.5316069176477243,0.0009673669586505174
3,0.5454517682255711,-0.012877483619196273
4,0.5582452598001483,-0.025670975193773482
5,0.49850454349579587,0.03406974111057892
6,0.5283911019201731,0.0041831826862016586
7,0.5301406473407252,0.002433637265649602
8,0.5418589142744714,-0.009284629668096622
9,0.5840683101778685,-0.05149402557149374
10,0.5295024813458237,0.0030718032605511203
11,0.5243139565820898,0.008260328024285002
12,0.5543823770204528,-0.021808092414077995
13,0.5311345586487506,0.001439725957624205
14,0.47935649544726044,0.05321778915911435
15,0.5395163377155521,-0.006942053109177282
16,0.5353750838274902,-0.0028007992211154242
17,0.5724642933655308,-0.03989000875915605
18,0.5215987858699154,0.010975498736459421
19,0.5341375465817637,-0.0015632619753889188
