SMILES,homo_ev,lumo_ev,bandgap_ev,source_db,canonical_SMILES,ewg_count,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp,measurement_type,halogen_count,nonarom_cc,scaffold,split,sascore
CCN1C(=O)c2ccc3c4c(-c5ccccc5C)c5c6cccc7cccc(c5c(-c5ccccc5C)c4c4ccc(c2c34)C1=O)c76,-5.99,-3.84,1.7,your_data,CCN1C(=O)c2ccc3c4c(-c5ccccc5C)c5c6cccc7cccc(c5c(-c5ccccc5C)c4c4ccc(c2c34)C1=O)c76,2,1.0,603.7210000000001,9,3,11.048139999999984,experiment,0,0,O=C1NC(=O)c2ccc3c4c(-c5ccccc5)c5c6cccc7cccc(c5c(-c5ccccc5)c4c4ccc1c2c43)c76,train,2.870756378354667
CCN1C(=O)c2c(c(-c3cccs3)c3c(c2-c2cccs2)-c2cccc4c(C#N)ccc-3c24)C1=O,-5.65,-3.48,2.6,your_data,CCN1C(=O)c2c(c(-c3cccs3)c3c(c2-c2cccs2)-c2cccc4c(C#N)ccc-3c24)C1=O,3,1.66,488.59300000000025,5,3,7.431780000000004,experiment,0,0,O=C1NC(=O)c2c1c(-c1cccs1)c1c(c2-c2cccs2)-c2cccc3cccc-1c23,train,3.023231503764194
CCN1C(=O)c2cc(-c3ccc(-c4ccc(C)s4)s3)c3c4c(cc(C)c(c24)C1=O)C(=O)N(CC)C3=O,-5.65,-3.94,1.55,your_data,CCN1C(=O)c2cc(-c3ccc(-c4ccc(C)s4)s3)c3c4c(cc(C)c(c24)C1=O)C(=O)N(CC)C3=O,4,2.0,514.6280000000004,4,4,6.145440000000005,experiment,0,0,O=C1NC(=O)c2cc(-c3ccc(-c4cccs4)s3)c3c4c(ccc1c24)C(=O)NC3=O,train,3.1044963402325347
CCC1(CC)c2ccccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-6.2,-3.6,1.55,your_data,CCC1(CC)c2ccccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,2,1.32,432.55200000000013,4,4,6.875360000000005,experiment,0,1,c1ccc2c(c1)Cc1cc(-c3cccc4nsnc34)ccc1-2,train,3.12799518721199
CCOc1c(OCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,-5.61,-3.8,1.88,your_data,CCOc1c(OCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,2,1.0,731.0310000000001,4,10,8.387900000000004,experiment,0,2,O=C1NC(=S)S/C1=C\c1ccc(-c2ccc(-c3ccc(/C=C4\SC(=S)NC4=O)s3)c3nsnc23)s1,train,3.6489379986211468
CCn1c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-5.28,-3.87,1.38,your_data,CCn1c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,4,2.64,615.7070000000001,7,5,8.018920000000003,experiment,0,2,c1cc(-c2ccc3c(c2)[nH]c2cc(-c4cccc5nsnc45)ccc23)c2nsnc2c1,train,3.7331450563483974
CCC1(CC)c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-5.28,-3.87,1.38,your_data,CCC1(CC)c2cc(-c3ccc(C=C(C#N)C#N)c4nsnc34)ccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,4,2.64,642.773,6,6,8.97762,experiment,0,2,c1cc(-c2ccc3c(c2)Cc2cc(-c4cccc5nsnc45)ccc2-3)c2nsnc2c1,train,3.836121724036868
CCC1(CC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,-5.67,-3.79,1.82,your_data,CCC1(CC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,6,3.64,794.9609999999999,6,6,12.391419999999982,experiment,0,4,C=C1/C(=C/c2ccc(-c3ccc4c(c3)Cc3cc(-c5ccc(/C=C6/C(=C)c7ccccc7C6=O)s5)ccc3-4)s2)C(=O)c2ccccc21,train,3.895048390050837
