SMILES,homo_ev,lumo_ev,bandgap_ev,source_db,canonical_SMILES,ewg_count,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp
CCCCCCCCCc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.7,-4.1,1.36,your_data,CCCCCCCCCc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,10,4.5600000000000005,1573.8989999999992,10,38,29.374220000000108
CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(C=C2C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC)C=C1C(=O)C2=CC(F)=C(F)C=C2C1=C(C#N)C#N,-5.72,-4.06,1.36,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,10,4.5600000000000005,1451.9709999999989,10,34,25.75662000000007
CCCCCCC(CCC)Cc3c(/C=C/2C(=O)C1/C=C(F)\C(F)=C/C1C2=C(C#N)\C#N)sc%12c3sc%13c%11c5nc4cc(F)c(F)cc4nc5c%10c9sc8c(CC(CCCC)CCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11n(CC(CCCC)CCCCCC)c%12%13,-5.67,-3.84,1.44,your_data,CCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(CC(CCC)CCCCCC)c(/C=C7\C(=O)C8C=C(F)C(F)=CC8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,12,5.0200000000000005,1660.2409999999993,10,41,30.253020000000113
CCCCCCCCCCCCOc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(SC(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)C7OCCCCCCCCCCC)c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12,-5.74,-3.78,1.5,your_data,CCCCCCCCCCCCOc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21)SC(C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N)C6OCCCCCCCCCCC,10,4.5600000000000005,1500.011999999999,9,37,25.300820000000062
CCCCCCCCc%13c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%14cc(c%10sc9c(N(c3ccc(CCCC)cc3)c4ccc(CCCCC)cc4)c(c8cc7sc(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)c(CCCCCCCC)c7s8)sc9c%10N(c%11ccc(CCCC)cc%11)c%12ccc(CCCC)cc%12)sc%13%14,-5.55,-3.98,1.43,your_data,CCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2cc(-c3sc4c(N(c5ccc(CCCC)cc5)c5ccc(CCCCC)cc5)c(-c5cc6sc(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)c(CCCCCCCC)c6s5)sc4c3N(c3ccc(CCCC)cc3)c3ccc(CCCC)cc3)sc12,10,4.5600000000000005,1694.3129999999994,12,37,32.073020000000106
CCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12,-5.65,-3.63,1.31,your_data,CCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,10,4.5600000000000005,1508.0789999999995,10,38,27.31702000000009
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(CCCCCCCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCCCCCCC)c(/C=C/7C(=O)c6cc(F)c(F)cc6C7C(C#N)C#N)sc8c9n(CCCCCCCCCCC)c%10c%11%12,-5.79,-3.85,1.35,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CCCCCCCCCCC)c3c21,10,4.5600000000000005,1720.4999999999993,10,55,33.25882000000011
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(/C=C/2C(=O)c1cc(F)c(F)cc1C2C(C#N)C#N)c(CCCCCCCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c%10c%11%12,-5.78,-3.82,1.37,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,10,4.5600000000000005,1902.8509999999997,10,67,38.18602000000001
CCCCCCCCCc3c(/C=C/2C(=O)C1/C=C(F)\C(F)=C/C1C2=C(C#N)\C#N)sc%12c3sc%13c%11c5nc4cc(F)c(F)cc4nc5c%10c9sc8c(CC(CCCC)CCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11n(CC(CCCC)CCCCCC)c%12%13,-5.37,-4.02,1.35,your_data,CCCCCCCCCc1c(/C=C2\C(=O)C3C=C(F)C(F)=CC3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(CC(CCCC)CCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,12,5.0200000000000005,1632.1869999999992,10,40,29.616920000000107
CCCCCCCCc%14ccc(c3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c4nsnc4c%10c9sc8c(c5ccc(CCCCCCCC)s5)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13)s%14,-5.6,-3.78,1.36,your_data,CCCCCCCCc1ccc(-c2c(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8ccc(CCCCCCCC)s8)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)s1,10,4.5600000000000005,1532.062999999999,12,30,26.873020000000075
