SMILES,HOMO,LUMO,Voc,Jsc,fill_factor,PCE,source_db,canonical_SMILES
C1C=c2c3C=C[SiH2]c3c3[nH]c4cc(ncc4c3c2=C1)-c1scc2C=C[SiH2]c12,-5.05365519763838,-3.40909212558517,0.453655197638381,157.59551056925,,4.64538962258552,CEP,C1=Cc2csc(-c3cc4[nH]c5c6c(c7c(c5c4cn3)=CCC=7)C=C[SiH2]6)c2[SiH2]1
c1cc2c(scc2o1)-c1cc2cc3c4nsnc4c4ccoc4c3cc2c2ccccc12,-5.46918947082366,-3.23027732262864,0.86918947082366,64.777916739055,,3.65842239150927,CEP,c1ccc2c(c1)c(-c1scc3occc13)cc1cc3c(cc12)c1occc1c1nsnc31
c1cc2c(cc(-c3cc4cnccc4c4cocc34)c3c[nH]cc23)s1,-5.19383555814236,-2.71863990812286,0.59383555814236,42.36336404768,,1.63459080552599,CEP,c1cc2c(cn1)cc(-c1cc3sccc3c3c[nH]cc13)c1cocc12
c1[nH]cc2c1ccc1ccc(cc21)-c1cc2c3cscc3ccc2c2cocc12,-5.06836149946264,-2.86659077539394,0.46836149946264,69.2234614721,,2.10662344213664,CEP,c1cc2ccc3c[nH]cc3c2cc1-c1cc2c3cscc3ccc2c2cocc12
[SiH2]1cc2cccc(-c3ccc(cn3)-c3sc(-c4cncs4)c4occc34)c2c1,-5.30871645271452,-3.62831731453769,0.70871645271452,149.88754514825,,6.90224664856528,CEP,C1=c2cccc(-c3ccc(-c4sc(-c5cncs5)c5occc45)cn3)c2=C[SiH2]1
C1C=c2ccc3cnc4c5ncc(cc5[nH]c4c3c2=C1)-c1cccc2cscc12,-5.45824945850338,-3.27624840825496,0.85824945850338,71.4518509718,,3.98455141019061,CEP,C1=c2ccc3cnc4c5ncc(-c6cccc7cscc67)cc5[nH]c4c3c2=CC1
C1C=CC=C1C1=Cc2sc3c(ccc4ccccc34)c2C1,-5.01685070280881,-2.85925911318516,0.41685070280881,74.1325247312,,2.00789843854725,CEP,C1=CCC(C2=Cc3sc4c(ccc5ccccc54)c3C2)=C1
[SiH2]1C=c2c(cc3[nH]c4c(sc5cc[se]c45)c3c2=C1)-c1scc2ccoc12,-4.88383068045157,-3.29939032207367,0.283830680451571,169.40570593895,,3.12420688660265,CEP,C1=c2c(-c3scc4ccoc34)cc3[nH]c4c(sc5cc[se]c54)c3c2=C[SiH2]1
[SiH2]1C=c2c(cc3[nH]c4c(c3c2=C1)c1=C[SiH2]C=c1c1ccc2cscc2c41)-c1cccs1,-4.89395599633707,-3.42153285841356,0.29395599633707,195.2531790391,,3.72934747744225,CEP,C1=c2c(-c3cccs3)cc3[nH]c4c(c5c(c6ccc7cscc7c64)=C[SiH2]C=5)c3c2=C[SiH2]1
C1cc2ccc3c4ccccc4c4-c5[SiH2]cc-c5cn-c4c3c2c1,-5.17132570128684,-3.25811447212905,0.57132570128684,108.60129547865,,4.03154192103122,CEP,C1=Cc2cnc3c(c2[SiH2]1)c1ccccc1c1ccc2c(c13)=CCC=2
c1csc(n1)-c1cc2c3cocc3c3c4[nH]ccc4ccc3c2c2nsnc12,-5.45841586488968,-3.59982016505156,0.85841586488968,117.63955397675,,6.56150580701727,CEP,c1csc(-c2cc3c4cocc4c4c(ccc5cc[nH]c54)c3c3nsnc23)n1
[SiH2]1C=c2c3c(sc4ccc5nsnc5c34)c3ccc(cc3c2=C1)-c1ccc[nH]1,-5.29346320173026,-3.45609031999006,0.69346320173026,121.12302964905,,5.45761076251245,CEP,C1=c2c(c3c(sc4ccc5nsnc5c43)c3ccc(-c4ccc[nH]4)cc23)=C[SiH2]1
c1csc(c1)-c1ccc2c(c1)ncc1c3cnccc3cnc21,-5.90715375728448,-3.40714313390839,1.30715375728448,40.33181497709,,3.42552273746856,CEP,c1csc(-c2ccc3c(c2)ncc2c4cnccc4cnc32)c1
C1C=c2c(cc3sc4c(oc5ccsc45)c3c2=C1)-c1cccc2ccccc12,-5.02081571235724,-3.04896912058321,0.42081571235724,99.03064815085,,2.70778377340398,CEP,C1=c2c(-c3cccc4ccccc34)cc3sc4c(oc5ccsc54)c3c2=CC1
C1C=CC=C1c1cc2cc3sc4ccc5c[nH]cc5c4c3cc2c2ccccc12,-5.03000465891227,-2.7924233904024,0.430004658912271,65.2311662925,,1.8225553115058,CEP,C1=CCC(c2cc3cc4sc5ccc6c[nH]cc6c5c4cc3c3ccccc23)=C1
C1C=Cc2[se]c3cc(sc3c12)-c1scc2cc[nH]c12,-4.86565562479818,-2.63905163367662,0.26565562479818,66.1253491132,,1.14140404292209,CEP,C1=Cc2[se]c3cc(-c4scc5cc[nH]c45)sc3c2C1
c1[nH]cc2c1c1cc(-c3ccccc3)c3cscc3c1c1c3nsnc3c3ccccc3c21,-5.07467241861848,-3.10261194262986,0.47467241861848,99.03064815085,,3.05433051826356,CEP,c1ccc(-c2cc3c4c[nH]cc4c4c5ccccc5c5nsnc5c4c3c3cscc23)cc1
C1cc2c(c1)c1c3[SiH2]cc-c3c3cscc3c1c1sccc21,-5.04787014721687,-3.27368184271629,0.447870147216871,132.3648694875,,3.85192004732032,CEP,C1=Cc2c(c3c4c(c5ccsc5c3c3cscc23)=CCC=4)[SiH2]1
C1C(=Cc2ccc3c4occc4c4c[nH]cc4c3c12)c1scc2ccoc12,-4.8423165988792,-2.67230998125493,0.2423165988792,72.77136331985,,1.14576641690112,CEP,C1=C(c2scc3ccoc23)Cc2c1ccc1c3occc3c3c[nH]cc3c21
c1[nH]cc2c1c(cc1c3c[nH]cc3c3c4ncccc4cnc3c21)-c1cccc2nsnc12,-4.80994272791045,-3.314937857605,0.20994272791045,189.6927751745,,2.58764109094396,CEP,c1cnc2c(c1)cnc1c3c4c[nH]cc4c(-c4cccc5nsnc45)cc3c3c[nH]cc3c21
C1C=Cc2c1csc2-c1ccc2c(c1)c1cocc1c1cccnc21,-5.5000032310903,-2.74485565923013,0.9000032310903,22.96384559456,,1.34289203975414,CEP,C1=Cc2c(csc2-c2ccc3c(c2)c2cocc2c2cccnc23)C1
C1C=CC=C1c1cc2Cc3c([nH]c4ccoc34)-c2[nH]1,-4.33433698334625,-2.17368551407278,0.0,73.68231418275,,0.0,CEP,C1=CCC(c2cc3c([nH]2)-c2[nH]c4ccoc4c2C3)=C1
C1C=Cc2c1csc2-c1cc2sc3c(oc4ccc5nsnc5c34)c2cn1,-5.49802682997485,-3.52612189367274,0.89802682997485,99.03064815085,,5.77844982228947,CEP,C1=Cc2c(csc2-c2cc3sc4c(oc5ccc6nsnc6c54)c3cn2)C1
C1C=Cc2c1csc2C1=Cc2ccc3c4CC=Cc4oc3c2[SiH2]1,-5.00534637721238,-2.92838651022152,0.40534637721238,84.09592990435,,2.21489776993184,CEP,C1=Cc2c(csc2C2=Cc3ccc4c5c(oc4c3[SiH2]2)C=CC5)C1
[SiH2]1C=Cc2sc3c(c12)c1nsnc1c1cc(cnc31)-c1ccco1,-5.67569438223607,-3.3884880418195,1.07569438223607,59.897884203495,,4.18651638484227,CEP,C1=Cc2sc3c4ncc(-c5ccco5)cc4c4nsnc4c3c2[SiH2]1
C1C=Cc2ccc3c4oc(cc4c4cocc4c3c12)-c1scc2ccoc12,-5.01416352262965,-2.70713520019309,0.41416352262965,57.760344037825,,1.55436865567534,CEP,C1=Cc2ccc3c4oc(-c5scc6ccoc56)cc4c4cocc4c3c2C1
C1C=c2ccc3c4c[nH]cc4c4c5[se]c(cc5[se]c4c3c2=C1)-c1cccnc1,-4.8580646726944,-3.13146109003046,0.258064672694401,141.7535030977,,2.3769211206597,CEP,C1=c2ccc3c4c[nH]cc4c4c5[se]c(-c6cccnc6)cc5[se]c4c3c2=CC1
C1C=c2c3ccoc3c3cc4c(cc(-c5cccnc5)c5=C[SiH2]C=c45)cc3c2=C1,-5.22323693863225,-3.45895365991594,0.62323693863225,134.23871263075,,5.43604917797838,CEP,C1=c2c(-c3cccnc3)cc3cc4c5c(c6ccoc6c4cc3c2=C[SiH2]1)=CCC=5
C1C=c2c3cc(-c4cncs4)c4ccccc4c3c3c4nsnc4c4C=CCc4c3c2=C1,-5.31835517871118,-3.62414989372152,0.71835517871118,147.093978356,,6.86572705212811,CEP,C1=Cc2c(c3c4c(c5cc(-c6cncs6)c6ccccc6c5c3c3nsnc23)=CCC=4)C1
C1C=CC=C1c1ccc2c(c1)[se]c1cc3cc[nH]c3cc21,-5.19128613686462,-2.59808378808312,0.59128613686462,33.60189240499,,1.29096315216365,CEP,C1=CCC(c2ccc3c(c2)[se]c2cc4cc[nH]c4cc23)=C1
c1csc(c1)-c1sc(-c2sc(-c3cncc4nsnc34)c3occc23)c2sccc12,-5.09625239375435,-3.85307223928427,0.49625239375435,246.6215662664,,7.95217775074768,CEP,c1csc(-c2sc(-c3sc(-c4cncc5nsnc45)c4occc34)c3sccc23)c1
c1cc2csc(-c3ccc([se]3)-c3ccc(-c4scc5nccnc45)c4nsnc34)c2o1,-5.19024998622912,-3.76867915128773,0.59024998622912,208.27915105205,,7.98792902223369,CEP,c1cnc2c(-c3ccc(-c4ccc(-c5scc6ccoc56)[se]4)c4nsnc34)scc2n1
c1cc2csc(-c3cc4ncc5c6ccccc6c6c[nH]cc6c5c4c4nsnc34)c2[se]1,-5.28089124585238,-3.44714381702141,0.68089124585238,122.1186992519,,5.40271841523364,CEP,c1ccc2c(c1)c1c[nH]cc1c1c2cnc2cc(-c3scc4cc[se]c34)c3nsnc3c21
C1C=c2c(cc3[se]c4cc5ccc6nsnc6c5cc4c3c2=C1)-c1cccc2cscc12,-5.22330896014063,-3.36284372206264,0.623308960140631,117.1452229233,,4.74438982605941,CEP,C1=c2c(-c3cccc4cscc34)cc3[se]c4cc5ccc6nsnc6c5cc4c3c2=CC1
C1C=Cc2csc(c12)-c1cc2cnccc2[se]1,-5.70803556758467,-2.7998630617629,1.10803556758467,15.76271127184,,1.1348462704086,CEP,C1=Cc2csc(-c3cc4cnccc4[se]3)c2C1
[SiH2]1C=Cc2c1c1c(cc(-c3ccco3)c3ccccc13)c1nsnc21,-5.57177970883391,-3.64052780551961,0.97177970883391,105.2278979024,,6.64432908142897,CEP,C1=Cc2c(c3c4ccccc4c(-c4ccco4)cc3c3nsnc23)[SiH2]1
[SiH2]1C=c2c(cc3c4c[nH]cc4ccc3c2=C1)-c1cc2ccccc2[nH]1,-4.95553055141001,-3.3536813275554,0.35553055141001,165.58312837885,,3.82512315768292,CEP,C1=c2c(-c3cc4ccccc4[nH]3)cc3c(ccc4c[nH]cc43)c2=C[SiH2]1
c1cc2c(scc2s1)-c1cc2cnc3c([se]c4ccc5c[nH]cc5c34)c2cn1,-5.13446910772144,-3.08913952947732,0.53446910772144,88.7372297955,,3.08163279761963,CEP,c1cc2c(-c3cc4cnc5c([se]c6ccc7c[nH]cc7c65)c4cn3)scc2s1
[SiH2]1C=Cc2sc3c4oc(cc4c4c[nH]cc4c3c12)-c1cccs1,-4.83695687261837,-2.78150742735267,0.23695687261837,87.3204042217,,1.34442772388517,CEP,C1=Cc2sc3c4oc(-c5cccs5)cc4c4c[nH]cc4c3c2[SiH2]1
C1C=Cc2csc(-c3cc4c5nsnc5c5c6[se]ccc6c6c[nH]cc6c5c4o3)c12,-5.0861276489489,-3.23560218890172,0.4861276489489,118.64148573615,,3.74747990006832,CEP,C1=Cc2csc(-c3cc4c5nsnc5c5c6[se]ccc6c6c[nH]cc6c5c4o3)c2C1
C1c2cc(ccc2-c2[nH]c3cccnc3c12)-c1ccc[se]1,-5.35757789819669,-2.70730430232876,0.757577898196691,29.308948694545,,1.44271301415931,CEP,c1c[se]c(-c2ccc3c(c2)Cc2c-3[nH]c3cccnc23)c1
C1ccc2csc(c12)-c1ccc(-c2cnc(s2)-c2scc3[se]ccc23)c2cscc12,-5.26841596871939,-3.27712435643845,0.66841596871939,96.26263980255,,4.18077693802296,CEP,C1=Cc2csc(-c3ccc(-c4cnc(-c5scc6[se]ccc56)s4)c4cscc34)c2C1
c1cc2csc(-c3cnc4c(ccc5cc6ccccc6cc45)c3)c2o1,-5.41128499824033,-2.97789494193469,0.81128499824033,46.046051613835,,2.42727092717372,CEP,c1ccc2cc3c(ccc4cc(-c5scc6ccoc56)cnc43)cc2c1
C1C=Cc2c1c1c(c3CC(=Cc3c3=C[SiH2]C=c13)c1cccc3c[nH]cc13)c1nsnc21,-4.80168989498844,-3.77065958300659,0.201689894988441,302.79414318725,,3.96811292810664,CEP,C1=Cc2c(c3c4c(c5c(c3c3nsnc23)CC(c2cccc3c[nH]cc23)=C5)=C[SiH2]C=4)C1
[SiH2]1C=c2cccc(-c3ccc4c(c3)sc3c4c4cscc4c4ccccc34)c2=C1,-5.35412090424429,-3.47556123628976,0.75412090424429,113.73530703535,,5.5729955562455,CEP,C1=c2cccc(-c3ccc4c(c3)sc3c5ccccc5c5cscc5c43)c2=C[SiH2]1
c1cc2[nH]c3c(c4cocc4c4cc(cnc34)-c3nccc4nsnc34)c2o1,-5.28608423552644,-3.89553794423708,0.68608423552644,216.472400937,,9.6501127430739,CEP,c1cc2nsnc2c(-c2cnc3c(c2)c2cocc2c2c3[nH]c3ccoc32)n1
C1C=c2c(cc3[nH]ccc3c2=C1)-c1ccc2ccsc2c1,-4.79531940867504,-2.58832828320577,0.19531940867504,68.32663040385,,0.867137198837766,CEP,C1=c2c(-c3ccc4ccsc4c3)cc3[nH]ccc3c2=CC1
C1C=c2c3c4ccccc4[se]c3c3cnc(cc3c2=C1)-c1cccnc1,-5.53891157581349,-3.29163106789973,0.93891157581349,63.882863332145,,3.89727884400166,CEP,C1=c2c(c3c4ccccc4[se]c3c3cnc(-c4cccnc4)cc23)=CC1
c1[nH]cc2c(cccc12)-c1cc2cc3c4cscc4c4ccccc4c3cc2s1,-5.1601659623025,-2.6978559294568,0.5601659623025,43.559427148575,,1.58544539352572,CEP,c1cc(-c2cc3cc4c5cscc5c5ccccc5c4cc3s2)c2c[nH]cc2c1
c1cc2c(sc(-c3ccc(-c4scc5sccc45)c4c[nH]cc34)c2[nH]1)-c1ncncn1,-5.05148474292382,-3.24794943737176,0.45148474292382,127.37381395505,,3.73659169864103,CEP,c1ncnc(-c2sc(-c3ccc(-c4scc5sccc45)c4c[nH]cc34)c3[nH]ccc23)n1
c1cc2cnc3cc(-c4cccc5ccccc45)c4nsnc4c3c2[se]1,-5.81808149252372,-3.49204463853351,1.21808149252372,56.011300007,,4.43306817278639,CEP,c1ccc2c(-c3cc4ncc5cc[se]c5c4c4nsnc34)cccc2c1
c1c[nH]c(c1)-c1cc2c3cocc3c3cc4cccnc4cc3c2c2cscc12,-5.23981531870858,-3.17155069139292,0.63981531870858,85.47599752705,,3.5534583098654,CEP,c1c[nH]c(-c2cc3c4cocc4c4cc5cccnc5cc4c3c3cscc23)c1
C1C=c2c3C=C[SiH2]c3c3[se]c4cc(cnc4c3c2=C1)-c1cncc2nsnc12,-5.21901150891019,-3.91660445748175,0.61901150891019,232.52306788555,,9.3522731099166,CEP,C1=Cc2c(c3[se]c4cc(-c5cncc6nsnc56)cnc4c3c3c2=CCC=3)[SiH2]1
c1cc2oc3c(c2[nH]1)c1ccccc1c1cc(ccc31)-c1cccnc1,-5.29437489165251,-2.56869034028836,0.694374891652511,24.408023342495,,1.10123252868268,CEP,c1cncc(-c2ccc3c(c2)c2ccccc2c2c4[nH]ccc4oc32)c1
c1ncc(s1)-c1ncc(-c2ccc(cc2)-c2cncc3nsnc23)c2nsnc12,-6.0161755594727,-4.1394118559894,0.0,0.0,,0.0,CEP,c1ncc(-c2ncc(-c3ccc(-c4cncc5nsnc45)cc3)c3nsnc23)s1
C1C=c2c3cc(ccc3c3c4nsnc4c4C=C[SiH2]c4c3c2=C1)-c1cccc2c[nH]cc12,-5.07435272910433,-3.66593300505791,0.47435272910433,211.74472678905,,6.52629078065009,CEP,C1=Cc2c(c3c4c(c5cc(-c6cccc7c[nH]cc67)ccc5c3c3nsnc23)=CCC=4)[SiH2]1
C1C=Cc2c1csc2-c1cnc2c(c1)c1=C[SiH2]C=c1c1c3ncccc3c3cocc3c21,-5.30690100946792,-3.47852390308927,0.70690100946792,123.11519768405,,5.65487072970674,CEP,C1=Cc2c(csc2-c2cnc3c(c2)c2c(c4c5ncccc5c5cocc5c34)=C[SiH2]C=2)C1
c1cc2csc(-c3cc4ccc5c6ncccc6c6cscc6c5c4c4cocc34)c2[nH]1,-5.10262841275713,-2.93679364377445,0.50262841275713,73.2265548911,,2.39148714064886,CEP,c1cnc2c(c1)c1cscc1c1c2ccc2cc(-c3scc4cc[nH]c34)c3cocc3c21
c1c[nH]c(c1)-c1cc2oc3cc4ccc5cscc5c4cc3c2s1,-5.15588029553277,-2.71858816016401,0.55588029553277,45.62704067948,,1.64799539704443,CEP,c1c[nH]c(-c2cc3oc4cc5ccc6cscc6c5cc4c3s2)c1
c1csc(n1)-c1cc2sc3c4ncccc4[se]c3c2cn1,-5.91761830539104,-3.23255919673373,1.31761830539104,27.032946593445,,2.31438400388964,CEP,c1cnc2c(c1)[se]c1c3cnc(-c4nccs4)cc3sc21
C1C(=Cc2oc3c4[nH]ccc4sc3c12)c1scc2ccsc12,-4.64403808570206,-2.76443334552923,0.04403808570206,113.73530703535,,0.325443910309156,CEP,C1=C(c2scc3ccsc23)Cc2c1oc1c2sc2cc[nH]c21
C1C=c2c3cc(oc3c3sc4ccc5=C[SiH2]C=c5c4c3c2=C1)-c1ccccc1,-4.95000505492598,-3.40064625164518,0.35000505492598,177.711266018,,4.04149169112729,CEP,C1=c2ccc3sc4c5oc(-c6ccccc6)cc5c5c(c4c3c2=C[SiH2]1)=CCC=5
C1C=CC=C1c1cc2ccc3c4occc4c4nsnc4c3c2s1,-5.37211350370107,-3.26554008875122,0.77211350370107,80.5306342048,,4.04012386411021,CEP,C1=CCC(c2cc3ccc4c5occc5c5nsnc5c4c3s2)=C1
c1cc2c(scc2o1)-c1sc(-c2ccc(cc2)-c2cccc3ccccc23)c2occc12,-5.08871999374748,-3.08598825974306,0.48871999374748,94.84457645,,3.01179231502847,CEP,c1ccc2c(-c3ccc(-c4sc(-c5scc6occc56)c5ccoc45)cc3)cccc2c1
C1C(=Cc2c1c1c3c[nH]cc3c3cc[se]c3c1c1c[nH]cc21)c1nccc2nsnc12,-4.74800293625843,-3.63121742947114,0.148002936258431,285.76654796105,,2.74811012954713,CEP,C1=C(c2nccc3nsnc23)Cc2c1c1c[nH]cc1c1c3[se]ccc3c3c[nH]cc3c21
C1C=c2ccc3c4nsnc4c4c5sc(cc5cnc4c3c2=C1)-c1cccc2=C[SiH2]C=c12,-5.22869277098655,-3.75934071378722,0.62869277098655,195.6935349226,,7.99405915519898,CEP,C1=c2cccc(-c3cc4cnc5c6c7c(ccc6c6nsnc6c5c4s3)=CCC=7)c2=C[SiH2]1
[SiH2]1ccc2csc(-c3[SiH2]c(cc3)-c3sc(-c4scc5cc[SiH2]c45)c4sccc34)c12,-5.04559511310573,-3.64259693735785,0.44559511310573,213.03210904755,,6.16790816768509,CEP,C1=Cc2csc(C3=CC=C(c4sc(-c5scc6c5[SiH2]C=C6)c5sccc45)[SiH2]3)c2[SiH2]1
C1C(=Cc2ccc3c(oc4cc[se]c34)c12)C1=CC=C[SiH2]1,-5.20600757583191,-3.10732743355893,0.60600757583191,81.38089057605,,3.20444560849366,CEP,C1=C[SiH2]C(C2=Cc3ccc4c(oc5cc[se]c54)c3C2)=C1
c1coc(c1)-c1cc2[nH]c3c(ccc4ccccc34)c2o1,-5.11882960314574,-2.31299027202809,0.51882960314574,19.87098613916,,0.669879335918082,CEP,c1coc(-c2cc3[nH]c4c5ccccc5ccc4c3o2)c1
C1c2cc([nH]c2-c2[nH]c3ccc4cocc4c3c12)-c1cccc2ccccc12,-4.55409932552765,-2.53632653529056,0.0,92.49576333985,,0.0,CEP,c1ccc2c(-c3cc4c([nH]3)-c3[nH]c5ccc6cocc6c5c3C4)cccc2c1
n-1cc2ccc3c[nH]cc3c2-c2cc3ncccc3cc-12,-5.45152887463224,-3.13859046761143,0.85152887463224,57.32740639405,,3.17186055261909,CEP,c1cnc2cc3c(cc2c1)ncc1ccc2c[nH]cc2c13
C1ccc2c1c(sc2-c1ccccc1)-c1ncc(s1)-c1cccc2c[nH]cc12,-5.09497785396576,-2.88059443349779,0.494977853965761,67.4328715528,,2.16875171321454,CEP,C1=Cc2c(-c3ccccc3)sc(-c3ncc(-c4cccc5c[nH]cc45)s3)c2C1
c1[nH]cc2c1ccc1cnc3c4ncc(cc4c4cocc4c3c21)-c1cccnc1,-5.4796545584109,-2.86214768724993,0.8796545584109,31.61429479104,,1.80695804498835,CEP,c1cncc(-c2cnc3c(c2)c2cocc2c2c3ncc3ccc4c[nH]cc4c32)c1
c1occ2c1c1cc(ccc1c1ncc3ccc4nsnc4c3c21)-c1ncncn1,-5.8404779768829,-3.73008233337348,1.2404779768829,80.1013763173,,6.45626650943218,CEP,c1ncnc(-c2ccc3c(c2)c2cocc2c2c3ncc3ccc4nsnc4c32)n1
[SiH2]1C=Cc2cc3c4ccccc4c4cc(-c5cccs5)c5c[nH]cc5c4c3cc12,-5.11177638335309,-2.84377989005424,0.51177638335309,61.666230969655,,2.0505957781963,CEP,C1=Cc2cc3c4ccccc4c4cc(-c5cccs5)c5c[nH]cc5c4c3cc2[SiH2]1
[SiH2]1ccc2csc(c12)-c1sc(-c2ccc([se]2)-c2ccc[se]2)c2cc[se]c12,-5.11335849700083,-3.25973636534215,0.51335849700083,118.1397449999,,3.94066209704289,CEP,C1=Cc2csc(-c3sc(-c4ccc(-c5ccc[se]5)[se]4)c4cc[se]c34)c2[SiH2]1
C1C=Cc2c1c1[se]c3cc(ncc3c1c1nsnc21)-c1ccccc1,-5.70050087252938,-3.59438011281419,1.10050087252938,80.5306342048,,5.75842776517663,CEP,C1=Cc2c(c3[se]c4cc(-c5ccccc5)ncc4c3c3nsnc23)C1
C1C=c2c(cc3ccc4c5[nH]ccc5c5cocc5c4c3c2=C1)-c1nccc2nsnc12,-5.06726816687167,-3.74189368323544,0.46726816687167,229.9861131698,,6.98264916013698,CEP,C1=c2c(-c3nccc4nsnc34)cc3ccc4c5[nH]ccc5c5cocc5c4c3c2=CC1
C1C=c2c3ccoc3c3[se]c4C=C([SiH2]c4c3c2=C1)c1ccc[se]1,-4.90428748091926,-3.24297593261178,0.30428748091926,154.1949056206,,3.04864266473728,CEP,C1=C(c2ccc[se]2)[SiH2]c2c1[se]c1c2c2c(c3ccoc31)=CCC=2
C1c(ccc1-c1cncc2nsnc12)-c1ccc(cc1)-c1cncc2nsnc12,-5.52314333462151,-3.99697706015461,0.92314333462151,183.12067385625,,10.9839596517912,CEP,C1=C(c2ccc(-c3cncc4nsnc34)cc2)CC(c2cncc3nsnc23)=C1
c1cc2csc(-c3cc4cc5c6nsnc6c6cc[se]c6c5cc4c4c[nH]cc34)c2s1,-5.20855195104575,-3.13799331019224,0.60855195104575,85.01462775975,,3.36158215424108,CEP,c1cc2csc(-c3cc4cc5c(cc4c4c[nH]cc34)c3[se]ccc3c3nsnc53)c2s1
c1cc2ccc3c4[se]c(cc4cnc3c2[nH]1)-c1scc2sccc12,-5.3193321065589,-2.93710590066948,0.7193321065589,50.48872628462,,2.35980584414619,CEP,c1cc2ccc3c(ncc4cc(-c5scc6sccc56)[se]c43)c2[nH]1
C1C(=Cc2[nH]c3c4ccccc4[se]c3c12)c1scc2nccnc12,-4.86992824618852,-3.4957294556441,0.26992824618852,220.25461845595,,3.86300944089163,CEP,C1=C(c2scc3nccnc23)Cc2c1[nH]c1c2[se]c2ccccc21
C1cccc1-c1sc(-c2ccc([nH]2)-c2scc3ccCc23)c2ccCc12,-4.75988222889817,-2.73349329190787,0.15988222889817,91.09471207265,,0.946336899412937,CEP,C1=CCC(c2sc(-c3ccc(-c4scc5c4CC=C5)[nH]3)c3c2CC=C3)=C1
c1cc2csc(-c3cnc(s3)-c3ncc(-c4nccc5nsnc45)c4nsnc34)c2s1,-5.54413673355802,-4.17022036203429,0.0,0.0,,0.0,CEP,c1cc2nsnc2c(-c2cnc(-c3ncc(-c4scc5ccsc45)s3)c3nsnc23)n1
C1C=c2c3ccoc3c3c4cocc4c4cc(sc4c3c2=C1)-c1ccco1,-4.86509191712574,-3.13764840726405,0.26509191712574,141.38572954675,,2.43531125480373,CEP,C1=c2c(c3c4sc(-c5ccco5)cc4c4cocc4c3c3occc23)=CC1
C1C=c2ccc3c4cscc4c4c5sc(cc5[nH]c4c3c2=C1)-c1ncncn1,-5.11413949742937,-3.46918311047466,0.51413949742937,157.59551056925,,5.26474357254816,CEP,C1=c2ccc3c4cscc4c4c([nH]c5cc(-c6ncncn6)sc54)c3c2=CC1
c1cc2[se]c3c(c2[se]1)c1ccccc1c1cc(ncc31)-c1ccccc1,-5.62846843964885,-2.97758293613686,1.02846843964885,29.308948694545,,1.95859040511274,CEP,c1ccc(-c2cc3c4ccccc4c4c5[se]ccc5[se]c4c3cn2)cc1
c1csc(c1)-c1cc2oc3c4[nH]ccc4c4cscc4c3c2[se]1,-4.91699635123387,-2.70678101329108,0.31699635123387,67.87857645205,,1.3981037541023,CEP,c1csc(-c2cc3oc4c5[nH]ccc5c5cscc5c4c3[se]2)c1
c1cc2csc(-c3sc(-c4sc(-c5cccc6cocc56)c5sccc45)c4cc[nH]c34)c2[nH]1,-4.60414674032895,-3.12874993175105,0.0041467403289504,194.36823821285,,0.0523702384635884,CEP,c1cc(-c2sc(-c3sc(-c4scc5cc[nH]c45)c4[nH]ccc34)c3ccsc23)c2cocc2c1
C1ccc2c1c(sc2-c1Cc(cc1)-c1cccc2c[nH]cc12)-c1ccccn1,-4.6997665434474,-2.97403495813518,0.0997665434474005,141.7535030977,,0.918906108997557,CEP,C1=Cc2c(C3=CC=C(c4cccc5c[nH]cc45)C3)sc(-c3ccccn3)c2C1
C1C=Cc2c1csc2-c1cc2c3c[nH]cc3c3c4[nH]ccc4ccc3c2c2ccccc12,-5.00886139371242,-2.53168059481253,0.40886139371242,42.36336404768,,1.12543121699804,CEP,C1=Cc2c(csc2-c2cc3c4c[nH]cc4c4c(ccc5cc[nH]c54)c3c3ccccc23)C1
C1ccc2csc(-c3cnc(s3)-c3cnc(-c4scc5occc45)c4nsnc34)c12,-5.38884970965202,-4.05533712299835,0.0,0.0,,0.0,CEP,C1=Cc2csc(-c3cnc(-c4cnc(-c5scc6occc56)c5nsnc45)s3)c2C1
[SiH2]1cc2cccc(-c3sc(-c4sc(-c5nccs5)c5ccsc45)c4nccnc34)c2c1,-5.05236271745163,-3.9114507727167,0.45236271745163,278.80490690845,,8.19482398916034,CEP,C1=c2cccc(-c3sc(-c4sc(-c5nccs5)c5ccsc45)c4nccnc34)c2=C[SiH2]1
C1C=c2ccc3sc4c5sc(cc5sc4c3c2=C1)-c1cccc2c[nH]cc12,-4.91071925972504,-3.0228088352978,0.31071925972504,112.3214588392,,2.26768810398717,CEP,C1=c2ccc3sc4c5sc(-c6cccc7c[nH]cc67)cc5sc4c3c2=CC1
C1C=c2c3ccoc3c3sc4cc(-c5scc6cc[se]c56)c5ccccc5c4c3c2=C1,-5.03760865511204,-3.00888892042671,0.43760865511204,91.09471207265,,2.59018917042214,CEP,C1=c2c(c3c(sc4cc(-c5scc6cc[se]c56)c5ccccc5c43)c3occc23)=CC1
[SiH2]1C(=Cc2[se]c3cc4ccc5nsnc5c4cc3c12)c1scc2occc12,-5.3395750424813,-3.52280202267311,0.7395750424813,125.1057102113,,6.01190061692146,CEP,C1=C(c2scc3occc23)[SiH2]c2c1[se]c1cc3ccc4nsnc4c3cc21
